German,2017_04_22,Bayern Munich,Mainz,1.15,7.5,17.0
Italian,2017_04_23,Juventus,Genoa,1.17,7.0,15.0
Spanish,2017_04_21,Sevilla,Granada,1.2,7.0,12.0
Italian,2017_04_23,Lazio,Palermo,1.2,6.5,13.0
German,2017_04_29,Dortmund,FC Koln,1.28,5.5,10.0
Italian,2017_04_22,Atalanta,Bologna,1.36,4.8,8.5
Italian,2017_04_23,AC Milan,Empoli,1.36,5.0,8.0
English,2017_04_25,Chelsea,Southampton,1.4,4.5,8.0
German,2017_04_22,Hamburg,Darmstadt,1.4,4.75,7.5
English,2017_04_23,Liverpool,Crystal Palace,1.5,4.33,6.0
German,2017_04_29,Leipzig,Ingolstadt,1.5,4.2,6.5
English,2017_04_26,Arsenal,Leicester,1.53,4.5,5.5
Spanish,2017_04_22,Villarreal,Leganes,1.67,3.6,5.5
German,2017_04_30,Hoffenheim,Eintracht Frankfurt,1.7,3.8,4.8
Spanish,2017_04_23,Real Sociedad,Deportivo La Coruna,1.7,3.75,4.8
English,2017_04_22,Bournemouth,Middlesbrough,1.73,3.75,4.5
Italian,2017_04_29,Torino,Sampdoria,1.75,4.0,4.2
Italian,2017_04_30,Cagliari,Pescara,1.75,4.2,4.0
German,2017_04_22,Eintracht Frankfurt,Augsburg,1.8,3.4,4.75
Italian,2017_04_30,Roma,Lazio,1.83,3.8,4.0
Italian,2017_04_23,Udinese,Cagliari,1.85,3.75,4.0
Italian,2017_04_23,Sampdoria,Crotone,1.85,3.75,4.0
English,2017_04_22,Hull,Watford,1.95,3.5,3.8
English,2017_04_27,Man City,Man Utd,1.95,3.75,3.6
Italian,2017_04_30,Genoa,Chievo,1.95,3.5,3.8
Spanish,2017_04_23,Celta Vigo,Real Betis,2.0,3.4,3.75
Spanish,2017_04_23,Las Palmas,Alaves,2.0,3.4,3.75
German,2017_04_28,Leverkusen,Schalke,2.05,3.6,3.4
Spanish,2017_04_23,Real Madrid,Barcelona,2.05,4.0,3.1
English,2017_04_26,Middlesbrough,Sunderland,2.1,3.25,3.6
English,2017_04_22,Swansea,Stoke,2.25,3.3,3.2
German,2017_04_22,Ingolstadt,Werder Bremen,2.25,3.4,3.1
German,2017_04_29,Werder Bremen,Hertha Berlin,2.25,3.3,3.2
Spanish,2017_04_22,Malaga,Valencia,2.25,3.4,3.1
Italian,2017_04_30,Empoli,Sassuolo,2.25,3.4,3.1
Italian,2017_04_30,Bologna,Udinese,2.37,3.4,2.9
German,2017_04_22,Hertha Berlin,Wolfsburg,2.45,3.25,2.9
German,2017_04_29,Mainz,M'gladbach,2.45,3.4,2.8
German,2017_04_30,Augsburg,Hamburg,2.5,3.2,2.87
Italian,2017_04_22,Fiorentina,Inter Milan,2.5,3.6,2.6
Spanish,2017_04_22,Osasuna,Sporting Gijon,2.6,3.4,2.62
Spanish,2017_04_24,Eibar,Athletic Bilbao,2.6,3.3,2.7
German,2017_04_23,Schalke,Leipzig,2.75,3.4,2.5
Italian,2017_04_30,Inter Milan,Napoli,2.8,3.75,2.3
Italian,2017_04_23,Chievo,Torino,3.0,3.3,2.37
English,2017_04_22,West Ham,Everton,3.1,3.5,2.2
German,2017_04_21,FC Koln,Hoffenheim,3.1,3.5,2.2
German,2017_04_22,M'gladbach,Dortmund,3.1,3.8,2.1
German,2017_04_29,Darmstadt,Freiburg,3.1,3.4,2.25
German,2017_04_23,Freiburg,Leverkusen,3.4,3.5,2.1
Italian,2017_04_29,Atalanta,Juventus,3.75,3.4,2.0
Italian,2017_04_30,Crotone,AC Milan,4.8,3.8,1.7
English,2017_04_26,Crystal Palace,Tottenham,5.0,4.2,1.61
Italian,2017_04_30,Palermo,Fiorentina,5.0,4.2,1.61
Spanish,2017_04_22,Espanyol,Atletico Madrid,5.5,3.6,1.67
English,2017_04_23,Burnley,Man Utd,7.0,3.75,1.53
German,2017_04_29,Wolfsburg,Bayern Munich,7.0,4.4,1.44
Italian,2017_04_23,Sassuolo,Napoli,7.5,4.75,1.4
Italian,2017_04_24,Pescara,Roma,9.5,6.5,1.25
