English,2017_04_08,Man City,Hull,1.22,6,13,1
Italian,2017_04_08,Juventus,Chievo,1.25,5.5,13,1
English,2017_04_08,Tottenham,Watford,1.28,5,12,1
Italian,2017_04_09,AC Milan,Palermo,1.28,5.5,10,1
Spanish,2017_04_08,Sevilla,Deportivo La Coruna,1.5,4.2,6.5,1
Spanish,2017_04_10,Real Sociedad,Sporting Gijon,1.5,4.2,6.5,1
Italian,2017_04_08,Atalanta,Sassuolo,1.5,4.33,6,0
German,2017_04_09,Ingolstadt,Darmstadt,1.53,3.8,7,1
German,2017_04_08,Bayern Munich,Dortmund,1.65,4,4.8,1
English,2017_04_09,Everton,Leicester,1.73,3.8,5,1
German,2017_04_09,Hertha Berlin,Augsburg,1.8,3.2,4.5,1
Spanish,2017_04_08,Real Madrid,Atletico Madrid,1.8,3.6,4.33,0
Italian,2017_04_09,Udinese,Genoa,1.8,3.6,4.5,1
Italian,2017_04_08,Empoli,Pescara,1.83,3.8,4,0
German,2017_04_08,Schalke,Wolfsburg,1.91,3.3,3.75,1
German,2017_04_08,Leipzig,Leverkusen,2,3.5,3.3,1
German,2017_04_07,Eintracht Frankfurt,Werder Bremen,2.1,3.5,3.4,0
Spanish,2017_04_09,Las Palmas,Real Betis,2.1,3.6,3.3,1
English,2017_04_08,West Ham,Swansea,2.15,3.3,3.4,1
Spanish,2017_04_08,Espanyol,Alaves,2.15,3,3.8,1
Spanish,2017_04_07,Villarreal,Athletic Bilbao,2.3,3.2,3.2,1
Spanish,2017_04_09,Celta Vigo,Eibar,2.3,3.3,3.1,0
German,2017_04_08,Freiburg,Mainz,2.37,3.3,2.75,1
English,2017_04_08,Middlesbrough,Burnley,2.4,3,3.2,0
German,2017_04_08,FC Koln,M'gladbach,2.45,3.2,2.7,0
